mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.007478904724121094,0.0008407786405171745,0.0018317699432373047,0.00027382391974044973,0.0,0.0,"{'alpha': 0.0, 'l1_ratio': 0.0}",0.6157059464912487,0.6933763490357668,0.6427979660185263,0.6880970116337615,0.6454271448403457,0.6570808836039298,0.02943147224274109,1
0.008214282989501952,0.0017627149869278685,0.0017040252685546875,0.0009717386915924435,0.0,0.1,"{'alpha': 0.0, 'l1_ratio': 0.1}",0.6157059464912487,0.6933763490357668,0.6427979660185263,0.6880970116337615,0.6454271448403457,0.6570808836039298,0.02943147224274109,1
0.005620718002319336,0.0028236075207331364,0.0011476039886474609,0.0006951757824374543,0.0,0.2,"{'alpha': 0.0, 'l1_ratio': 0.2}",0.6157059464912487,0.6933763490357668,0.6427979660185263,0.6880970116337615,0.6454271448403457,0.6570808836039298,0.02943147224274109,1
0.006249475479125977,0.0076540130452890116,0.0031250476837158202,0.006250095367431641,0.0,0.30000000000000004,"{'alpha': 0.0, 'l1_ratio': 0.30000000000000004}",0.6157059464912487,0.6933763490357668,0.6427979660185263,0.6880970116337615,0.6454271448403457,0.6570808836039298,0.02943147224274109,1
0.009374189376831054,0.007653993624662469,0.0,0.0,0.0,0.4,"{'alpha': 0.0, 'l1_ratio': 0.4}",0.6157059464912487,0.6933763490357668,0.6427979660185263,0.6880970116337615,0.6454271448403457,0.6570808836039298,0.02943147224274109,1
0.008039331436157227,0.0009519977208628287,0.0016196727752685546,0.0008255287917391853,0.0,0.5,"{'alpha': 0.0, 'l1_ratio': 0.5}",0.6157059464912487,0.6933763490357668,0.6427979660185263,0.6880970116337615,0.6454271448403457,0.6570808836039298,0.02943147224274109,1
0.007945585250854491,0.0068146703388628285,0.0005993843078613281,0.0004893956794015645,0.0,0.6000000000000001,"{'alpha': 0.0, 'l1_ratio': 0.6000000000000001}",0.6157059464912487,0.6933763490357668,0.6427979660185263,0.6880970116337615,0.6454271448403457,0.6570808836039298,0.02943147224274109,1
0.004810762405395508,0.005841199129964461,0.00019989013671875,0.0003997802734375,0.0,0.7000000000000001,"{'alpha': 0.0, 'l1_ratio': 0.7000000000000001}",0.6157059464912487,0.6933763490357668,0.6427979660185263,0.6880970116337615,0.6454271448403457,0.6570808836039298,0.02943147224274109,1
0.01010589599609375,0.008357679650531998,0.0,0.0,0.0,0.8,"{'alpha': 0.0, 'l1_ratio': 0.8}",0.6157059464912487,0.6933763490357668,0.6427979660185263,0.6880970116337615,0.6454271448403457,0.6570808836039298,0.02943147224274109,1
0.008402013778686523,0.00795201913274422,0.000600433349609375,0.0008007766147259852,0.0,0.9,"{'alpha': 0.0, 'l1_ratio': 0.9}",0.6157059464912487,0.6933763490357668,0.6427979660185263,0.6880970116337615,0.6454271448403457,0.6570808836039298,0.02943147224274109,1
0.0071047782897949215,0.005415969142398809,0.0012975692749023437,0.000872716827036996,0.25,0.0,"{'alpha': 0.25, 'l1_ratio': 0.0}",0.5346989659408181,0.6632678484111538,0.6202068181545115,0.6342842057529368,0.6023458426311261,0.6109607361781093,0.04302460283520073,34
0.0016006946563720704,0.001356818314274479,0.0008878231048583985,0.0007905748753317335,0.25,0.1,"{'alpha': 0.25, 'l1_ratio': 0.1}",0.540886003975376,0.6685056066750941,0.6244597158275484,0.6391460016265388,0.6070574275226999,0.6160109511254515,0.042629155087009506,31
0.0,0.0,0.0031275272369384764,0.006255054473876953,0.25,0.2,"{'alpha': 0.25, 'l1_ratio': 0.2}",0.5473476893386006,0.6738248898725132,0.628674161937985,0.6442081314671846,0.611888843290961,0.6211887431814489,0.04217932441395649,27
0.006249427795410156,0.007653955177766411,0.0,0.0,0.25,0.30000000000000004,"{'alpha': 0.25, 'l1_ratio': 0.30000000000000004}",0.5541071717761563,0.6791912826656821,0.6327937197135858,0.6494802073483439,0.6168354756329928,0.6264815714273521,0.041661000991303196,25
0.0,0.0,0.0031251430511474608,0.0062502861022949215,0.25,0.4,"{'alpha': 0.25, 'l1_ratio': 0.4}",0.561190914586398,0.6845476495732864,0.6367364501085444,0.6549677652509919,0.6218865352947409,0.6318658629627923,0.04105441866027055,21
0.0,0.0,0.003124237060546875,0.00624847412109375,0.25,0.5,"{'alpha': 0.25, 'l1_ratio': 0.5}",0.5686305300817867,0.6897979100442868,0.6403822778047472,0.6606679230518727,0.6270200557752057,0.6372997393515798,0.04033054469013656,19
0.0033684730529785155,0.006145479576991277,0.0012700557708740234,0.002540111541748047,0.25,0.6000000000000001,"{'alpha': 0.25, 'l1_ratio': 0.6000000000000001}",0.5764676982260459,0.6947749630652753,0.6435530773705758,0.6665610835767488,0.6321923182925226,0.6427098281062337,0.03944365479741952,16
0.0021255016326904297,0.0011237745953659028,0.004704999923706055,0.0059316005633375584,0.25,0.7000000000000001,"{'alpha': 0.25, 'l1_ratio': 0.7000000000000001}",0.5847685192554197,0.6991694398175095,0.6459805730056067,0.6725937070795033,0.6373119334762899,0.6479648345268658,0.038313675951677596,14
0.002897310256958008,0.0004883395799054262,0.0014293193817138672,0.0006825354039676137,0.25,0.8,"{'alpha': 0.25, 'l1_ratio': 0.8}",0.593669235163189,0.7023404650341529,0.6472519720868164,0.6786357060171266,0.6421607641770279,0.6528116284956627,0.036775432037985584,12
