iter	Passed	Remaining
418	2367	3283
419	2372	3276
420	2379	3272
421	2385	3266
422	2390	3260
423	2394	3252
424	2399	3245
425	2404	3240
426	2412	3237
427	2418	3232
428	2422	3224
429	2427	3217
430	2433	3212
431	2440	3208
432	2442	3198
433	2447	3192
434	2459	3194
435	2466	3190
436	2481	3196
437	2488	3193
438	2501	3196
439	2509	3194
440	2516	3189
441	2522	3184
442	2529	3181
443	2540	3181
444	2548	3178
445	2558	3178
446	2566	3175
447	2572	3170
448	2579	3165
449	2585	3159
450	2595	3159
451	2604	3157
452	2608	3149
453	2612	3141
454	2615	3133
455	2620	3125
456	2624	3117
457	2627	3109
458	2630	3100
459	2634	3093
460	2639	3085
461	2642	3077
462	2646	3069
463	2651	3062
464	2655	3054
465	2660	3049
466	2667	3044
467	2671	3036
468	2675	3029
469	2681	3023
470	2686	3017
471	2693	3012
472	2700	3008
473	2705	3002
474	2710	2995
475	2714	2988
476	2718	2980
477	2722	2972
478	2726	2965
479	2730	2957
480	2735	2951
481	2739	2943
482	2744	2938
483	2748	2930
484	2753	2923
485	2757	2916
486	2763	2911
487	2767	2904
488	2773	2897
489	2777	2890
490	2781	2882
491	2786	2876
492	2791	2870
493	2795	2863
494	2799	2856
495	2803	2849
496	2807	2841
497	2811	2833
498	2815	2827
499	2820	2820
500	2826	2815
501	2832	2809
502	2836	2802
503	2840	2795
504	2845	2789
505	2850	2782
506	2855	2776
507	2860	2770
508	2864	2763
509	2868	2755
510	2872	2748
511	2876	2741
512	2880	2734
513	2885	2728
514	2889	2721
515	2893	2714
516	2897	2707
517	2902	2700
518	2906	2694
519	2911	2687
520	2915	2680
521	2920	2674
522	2924	2667
523	2928	2659
524	2932	2653
525	2936	2646
526	2940	2639
527	2944	2632
528	2948	2624
529	2953	2618
530	2957	2611
531	2961	2605
532	2967	2600
533	2971	2592
534	2975	2585
535	2978	2578
536	2984	2573
537	2989	2566
538	2994	2561
539	2999	2554
540	3004	2548
541	3010	2544
542	3017	2539
543	3025	2535
544	3030	2529
545	3035	2523
546	3039	2517
547	3044	2511
548	3049	2504
549	3054	2498
550	3059	2493
551	3062	2485
552	3067	2479
553	3072	2473
554	3077	2467
555	3082	2461
556	3087	2455
557	3091	2449
558	3095	2442
559	3099	2435
560	3105	2430
561	3112	2425
562	3116	2419
563	3121	2413
564	3128	2408
565	3132	2402
566	3139	2397
567	3147	2393
568	3152	2387
569	3157	2382
570	3163	2376
571	3168	2371
572	3173	2365
573	3178	2359
574	3183	2353
575	3188	2347
576	3194	2342
577	3200	2336
578	3207	2332
579	3212	2326
580	3216	2319
581	3221	2314
582	3228	2308
583	3235	2304
584	3241	2299
585	3247	2294
586	3255	2290
587	3259	2283
588	3264	2277
589	3272	2273
590	3278	2268
591	3282	2262
592	3287	2256
593	3291	2249
594	3295	2243
595	3300	2237
596	3306	2231
597	3310	2225
598	3315	2219
599	3319	2213
600	3324	2207
601	3329	2201
602	3335	2196
603	3339	2189
604	3344	2183
605	3348	2176
606	3351	2170
607	3357	2164
608	3361	2157
609	3365	2151
610	3369	2145
611	3374	2139
612	3379	2133
613	3386	2128
614	3391	2123
615	3396	2117
616	3402	2111
617	3407	2106
618	3411	2099
619	3415	2093
620	3422	2088
621	3428	2083
622	3433	2077
623	3438	2071
624	3443	2065
625	3447	2059
626	3452	2053
627	3459	2048
628	3465	2044
629	3470	2038
630	3474	2031
631	3478	2025
632	3483	2019
633	3488	2014
634	3502	2013
635	3510	2009
636	3519	2005
637	3530	2003
638	3537	1998
639	3547	1995
640	3553	1990
641	3562	1986
642	3568	1981
643	3575	1976
644	3585	1973
645	3592	1968
646	3600	1964
647	3611	1961
648	3619	1957
649	3625	1952
650	3631	1946
651	3641	1943
652	3650	1939
653	3657	1935
654	3662	1929
655	3666	1922
656	3670	1916
657	3674	1909
658	3679	1903
659	3683	1897
660	3692	1893
661	3697	1887
662	3700	1881
663	3704	1874
664	3710	1869
665	3718	1864
666	3724	1859
667	3730	1853
668	3737	1849
669	3743	1844
670	3749	1838
671	3755	1833
672	3759	1826
673	3764	1820
674	3770	1815
675	3773	1808
676	3778	1802
677	3783	1796
678	3787	1790
679	3792	1784
680	3796	1778
681	3801	1772
682	3804	1765
683	3809	1759
684	3813	1753
685	3817	1747
686	3822	1741
687	3825	1734
688	3830	1728
689	3836	1723
690	3842	1718
691	3847	1712
692	3852	1706
693	3855	1700
694	3862	1695
695	3866	1688
696	3871	1683
697	3875	1676
698	3879	1670
699	3883	1664
700	3887	1658
701	3892	1652
702	3896	1646
703	3901	1640
704	3905	1634
705	3910	1628
706	3914	1622
707	3919	1616
708	3923	1610
709	3928	1604
710	3932	1598
711	3937	1592
712	3940	1586
713	3944	1580
714	3948	1573
715	3952	1567
716	3956	1561
717	3959	1555
718	3963	1549
719	3967	1543
720	3972	1537
721	3976	1531
722	3980	1524
723	3984	1518
724	3987	1512
725	3991	1506
726	3995	1500
727	3999	1494
728	4004	1488
729	4008	1482
730	4013	1476
731	4016	1470
732	4021	1464
733	4026	1459
734	4034	1454
735	4041	1449
736	4045	1443
737	4049	1437
738	4053	1431
739	4060	1426
740	4065	1421
741	4071	1415
742	4075	1409
743	4079	1403
744	4083	1397
745	4088	1392
746	4093	1386
747	4098	1380
748	4102	1374
749	4108	1369
750	4113	1363
751	4119	1358
752	4126	1353
753	4131	1347
754	4136	1342
755	4141	1336
756	4148	1331
757	4168	1330
758	4173	1325
759	4178	1319
760	4186	1314
761	4191	1309
762	4197	1303
763	4202	1298
764	4207	1292
765	4213	1287
766	4218	1281
767	4222	1275
768	4229	1270
769	4233	1264
770	4238	1258
771	4244	1253
772	4250	1248
773	4255	1242
774	4259	1236
775	4263	1230
776	4267	1224
777	4273	1219
778	4278	1213
779	4282	1207
780	4286	1202
781	4300	1198
782	4303	1192
783	4308	1186
784	4311	1180
785	4316	1175
786	4321	1169
787	4324	1163
788	4329	1157
789	4333	1151
790	4337	1146
791	4341	1140
792	4346	1134
793	4351	1129
794	4357	1123
795	4361	1117
796	4364	1111
797	4369	1106
798	4373	1100
799	4379	1094
800	4384	1089
801	4388	1083
802	4392	1077
803	4396	1071
804	4400	1066
805	4405	1060
806	4409	1054
807	4416	1049
808	4420	1043
809	4424	1037
810	4428	1032
811	4434	1026
812	4440	1021
813	4446	1016
814	4453	1010
815	4457	1005
816	4473	1001
817	4483	997
818	4489	992
819	4494	986
820	4500	981
821	4504	975
822	4509	969
823	4513	964
824	4525	959
825	4536	955
826	4547	951
827	4555	946
828	4567	942
829	4577	937
830	4584	932
831	4590	927
832	4598	921
833	4607	917
834	4627	914
835	4636	909
836	4645	904
837	4651	899
838	4661	894
839	4668	889
840	4674	883
841	4678	877
842	4681	871
843	4684	865
844	4689	860
845	4693	854
846	4697	848
847	4701	842
848	4705	836
849	4708	830
850	4713	825
851	4719	819
852	4725	814
853	4730	808
854	4735	803
855	4742	797
856	4750	792
857	4754	786
858	4760	781
859	4765	775
860	4770	770
861	4773	764
862	4778	758
863	4783	752
864	4787	747
865	4791	741
866	4795	735
867	4799	729
868	4804	724
869	4808	718
870	4813	712
871	4818	707
872	4822	701
873	4827	695
874	4829	689
875	4834	684
876	4839	678
877	4844	673
878	4850	667
879	4855	662
880	4860	656
881	4868	651
882	4872	645
883	4877	640
884	4883	634
885	4888	629
886	4893	623
887	4898	617
888	4902	612
889	4906	606
890	4911	600
891	4915	595
892	4920	589
893	4925	583
894	4929	578
895	4934	572
896	4939	567
897	4943	561
898	4947	555
899	4951	550
900	4956	544
901	4960	538
902	4964	533
903	4968	527
904	4972	521
905	4976	516
906	4979	510
907	4983	504
908	4988	499
909	4992	493
910	4998	488
911	5002	482
912	5005	476
913	5009	471
914	5013	465
915	5018	460
916	5022	454
917	5027	449
918	5033	443
919	5038	438
920	5043	432
921	5048	427
922	5058	421
923	5062	416
924	5067	410
925	5071	405
926	5076	399
927	5082	394
928	5087	388
929	5091	383
930	5095	377
931	5100	372
932	5105	366
933	5112	361
934	5118	355
935	5119	350
936	5126	344
937	5130	339
938	5135	333
939	5144	328
940	5148	322
941	5153	317
942	5157	311
943	5161	306
944	5166	300
945	5172	295
946	5177	289
947	5182	284
948	5187	278
949	5192	273
950	5198	267
951	5203	262
952	5208	256
953	5213	251
954	5218	245
955	5223	240
956	5230	234
957	5236	229
958	5240	224
959	5244	218
960	5249	213
961	5253	207
962	5255	201
963	5262	196
964	5268	191
965	5274	185
966	5278	180
967	5282	174
968	5287	169
969	5294	163
970	5298	158
971	5303	152
972	5307	147
973	5311	141
974	5316	136
975	5322	130
976	5326	125
977	5330	119
978	5334	114
979	5338	108
980	5342	103
981	5347	98
982	5351	92
983	5355	87
984	5360	81
985	5364	76
986	5371	70
987	5377	65
988	5382	59
989	5385	54
990	5389	48
991	5394	43
992	5400	38
993	5404	32
994	5409	27
995	5413	21
996	5417	16
997	5421	10
998	5426	5
999	5430	0
