iter	MultiClass
0	1.727028028
1	1.667966894
2	1.600693756
3	1.537402139
4	1.481792806
5	1.431931844
6	1.387883914
7	1.354173734
8	1.314268349
9	1.283032732
10	1.244767853
11	1.218135866
12	1.186211135
13	1.157808113
14	1.132734211
15	1.103625469
16	1.085901144
17	1.065234954
18	1.046749594
19	1.025474964
20	1.003423469
21	0.9871409141
22	0.9735481834
23	0.9583550621
24	0.936834756
25	0.9218418982
26	0.9042230987
27	0.887666137
28	0.8736348471
29	0.8568350915
30	0.8407568975
31	0.8288272353
32	0.8180589998
33	0.808806566
34	0.797219736
35	0.7875953916
36	0.7750006102
37	0.764666816
38	0.7532116546
39	0.7430559784
40	0.7322234027
41	0.722839935
42	0.7125235393
43	0.7026201312
44	0.6935627066
45	0.6854696655
46	0.6785177629
47	0.6718109041
48	0.6645593066
49	0.6566187525
50	0.6468262223
51	0.6390308566
52	0.6329593587
53	0.6273153483
54	0.6188356586
55	0.6111508729
56	0.6040968851
57	0.5974265734
58	0.5938076127
59	0.5881284267
60	0.5798863079
61	0.5749201819
62	0.5692421428
63	0.5619374532
64	0.5571623462
65	0.5506078657
66	0.5463172669
67	0.5409802803
68	0.5355248867
69	0.5309960007
70	0.5263837824
71	0.5209493398
72	0.51542224
73	0.5104486387
74	0.5050451975
75	0.5002722925
76	0.4928029829
77	0.4888027259
78	0.4851442181
79	0.4800776212
80	0.4747857333
81	0.469669247
82	0.4638311104
83	0.4593860279
84	0.4551320013
85	0.4498950762
86	0.4457374374
87	0.4396414107
88	0.4359423937
89	0.4323603639
90	0.4271058501
91	0.4219668857
92	0.4174067293
93	0.4146389098
94	0.408983633
95	0.4051590062
96	0.40077717
97	0.3959499031
98	0.3931805864
99	0.3885199153
100	0.3822328701
101	0.3764651385
102	0.3724587033
103	0.3690985781
104	0.3664573259
105	0.3632828395
106	0.3598609188
107	0.3564604291
108	0.352752148
109	0.3497390042
110	0.3482395463
111	0.3453087248
112	0.343311125
113	0.339213886
114	0.3351546129
115	0.3324173837
116	0.3292322641
117	0.3259100357
118	0.3250325275
119	0.3221081339
120	0.3192065954
121	0.3164729789
122	0.3142589783
123	0.3100712261
124	0.3067592418
125	0.3048684614
126	0.3022664355
127	0.2992313194
128	0.2968916656
129	0.2947439778
130	0.2923036784
131	0.2898171874
132	0.2879414558
133	0.286175149
134	0.2832543109
135	0.2815340526
136	0.2798673912
137	0.277764598
138	0.276468856
139	0.2740134612
140	0.2712103192
141	0.2675542627
142	0.2649354131
143	0.2635144649
144	0.2604856415
145	0.2589791647
146	0.2579149749
147	0.25611418
148	0.253482754
149	0.2513458254
150	0.2499111133
151	0.2485253199
152	0.2463317122
153	0.2449647475
154	0.243190464
155	0.2418687405
156	0.239575453
157	0.2379181287
158	0.2354397555
159	0.2340881332
160	0.2327837573
161	0.2313804275
162	0.2291308552
163	0.2280264835
164	0.2264516286
165	0.2249734009
166	0.2238561234
167	0.222134435
168	0.2207386972
169	0.2196562988
170	0.2188863583
171	0.2177959226
172	0.2166770456
173	0.2148696503
174	0.2129910341
175	0.212318513
176	0.2113564538
177	0.2098957019
178	0.208956836
179	0.2074266289
180	0.2062308919
181	0.2052078159
182	0.2041239369
183	0.2029416804
184	0.2013632705
185	0.2001769942
186	0.1987244315
187	0.1972457991
188	0.1959700216
189	0.194793214
190	0.1939669202
191	0.1933963268
192	0.1925476843
193	0.1912295514
194	0.1902685605
195	0.1891790299
196	0.1880757651
197	0.1869592972
198	0.1854929376
199	0.1846875808
200	0.1837364867
